Index,Random,Total Amount,Total Amount 2,STD Dev,Assignment,Combined,Genentic,Reference
29,"[16.231310755674205, -0.09537980953280799, -11563]","[16.327034455387828, -0.014662502987128682, -16509]","[16.65959597883748, -0.013235129010910297, -22459]","[16.65959597883748, -0.013235129010910297, -22459]","[18.53682667441718, -0.11545127951481124, -4195]","[16.65959597883748, -0.013235129010910297, -22459]","[15.347123186348915, -0.09639879596967724, -19484]","[19.138254994754114, -0.026785051362019457, -1146]"
30,"[12.649379826368222, -0.06312259394920258, -16178]","[13.018524318934448, -0.013449264666071048, -19076]","[13.486043636944562, -0.015717570026911317, -20410]","[13.486043636944562, -0.015717570026911317, -20410]","[14.639326941473929, -0.11314945014692467, -2967]","[13.486043636944562, -0.015717570026911317, -20410]","[12.777005717928292, -0.07378114074354557, -16226]","[13.726484114152152, -0.019210977287024766, -1146]"
31,"[14.80289951935215, -0.09237863101929648, -10616]","[16.32835489764909, -0.014102045462736244, -17190]","[16.6378885315389, -0.012848026490732802, -22017]","[16.6378885315389, -0.012848026490732802, -22017]","[18.350365961979676, -0.11598301001293196, -3987]","[16.6378885315389, -0.012848026490732802, -22017]","[15.164668691029554, -0.09400664625908213, -18131]","[19.138254994754114, -0.026785051362019457, -1146]"
32,"[12.49386172290621, -0.07282307007203404, -14965]","[12.826688820720056, -0.012715028722917647, -18953]","[13.107126201420881, -0.00805230142545578, -21479]","[13.107126201420881, -0.00805230142545578, -21479]","[14.889793975650273, -0.1137227538038109, -4269]","[13.107126201420881, -0.00805230142545578, -21479]","[12.336215131710723, -0.07551052348753214, -21139]","[13.726484114152152, -0.019210977287024766, -1146]"
33,"[15.395504371623975, -0.08283964655560459, -12770]","[16.21477899624455, -0.01395094105953955, -17456]","[16.549029583974548, -0.012576175536362562, -22876]","[16.549029583974548, -0.012576175536362562, -22876]","[18.438165672570474, -0.11482357080842782, -3656]","[16.549029583974548, -0.012576175536362562, -22876]","[14.868025569381103, -0.09632204927772436, -18127]","[19.138254994754114, -0.026785051362019457, -1146]"
34,"[13.076182619773007, -0.07994279646121487, -13416]","[12.900239826479213, -0.011998729828617452, -19622]","[13.416404649766312, -0.009678614495408192, -21547]","[13.416404649766312, -0.009678614495408192, -21547]","[14.80778139682765, -0.11407508261386687, -4033]","[13.416404649766312, -0.009678614495408192, -21547]","[11.916687819611717, -0.06750097940323449, -15237]","[13.726484114152152, -0.019210977287024766, -1146]"
35,"[13.161421797963342, -0.08990897300765925, -10034]","[12.86480496940851, -0.012339813527363413, -20400]","[13.09870100488345, -0.009674416000737223, -23343]","[13.09870100488345, -0.009674416000737223, -23343]","[14.533362575339835, -0.11599084059288782, -4322]","[13.09870100488345, -0.009674416000737223, -23343]","[12.352026446824496, -0.07071938453824256, -17944]","[13.726484114152152, -0.019210977287024766, -1146]"
36,"[12.232800028926683, -0.06776916490576457, -15285]","[12.97396454336973, -0.014223492380811643, -19141]","[13.40147888145353, -0.013234799805600269, -20078]","[13.40147888145353, -0.013234799805600269, -20078]","[14.528079345810518, -0.1130365702416672, -3190]","[13.40147888145353, -0.013234799805600269, -20078]","[12.785656375690246, -0.07301402628546595, -15431]","[13.726484114152152, -0.019210977287024766, -1146]"
37,"[12.861805006200356, -0.06569818303557735, -11878]","[12.82401341209409, -0.012860612656116273, -19249]","[13.27399382186523, -0.00902784743040936, -21686]","[13.27399382186523, -0.00902784743040936, -21686]","[14.768043990344559, -0.11469615903523804, -4068]","[13.27399382186523, -0.00902784743040936, -21686]","[11.367515262660977, -0.069448468156572, -19590]","[13.726484114152152, -0.019210977287024766, -1146]"
38,"[12.371836367771635, -0.06861999315238229, -15429]","[12.811240671430342, -0.012302996630875087, -19827]","[13.257704953265263, -0.00979755406436854, -21644]","[13.257704953265263, -0.00979755406436854, -21644]","[14.871771519573038, -0.11629625454345517, -4144]","[13.257704953265263, -0.00979755406436854, -21644]","[12.492368470509648, -0.06992992778622276, -17101]","[13.726484114152152, -0.019210977287024766, -1146]"
39,"[12.748296892563848, -0.08770454830061317, -13987]","[12.846355116542084, -0.0124250670054486, -19814]","[13.201153512503357, -0.00938513723804027, -22688]","[13.201153512503357, -0.00938513723804027, -22688]","[14.837433509254046, -0.11465028278164038, -3792]","[13.201153512503357, -0.00938513723804027, -22688]","[11.737069164506009, -0.06953332064853049, -14655]","[13.726484114152152, -0.019210977287024766, -1146]"
40,"[12.781522773745754, -0.07056313535380677, -15087]","[13.0752487178084, -0.013739177028293489, -18955]","[13.569552348136893, -0.016359000663559692, -20457]","[13.569552348136893, -0.016359000663559692, -20457]","[14.53403428934018, -0.11288915701260441, -3346]","[13.569552348136893, -0.016359000663559692, -20457]","[11.864655879937834, -0.06241743686070272, -19615]","[13.726484114152152, -0.019210977287024766, -1146]"
41,"[12.21278822370308, -0.06965026560418816, -15486]","[12.856447404534656, -0.012531607219648138, -19350]","[13.07631276114141, -0.008470006925214315, -20242]","[13.07631276114141, -0.008470006925214315, -20242]","[14.632402625524277, -0.11451801612816995, -3209]","[13.07631276114141, -0.008470006925214315, -20242]","[12.382008584001722, -0.06721668946772495, -14831]","[13.726484114152152, -0.019210977287024766, -1146]"
